012306 RA ----DPF- ταῖς ταῖς ταῖς ὁ
012306 N- ----DPF- συναγωγαῖς συναγωγαῖς συναγωγαῖς συναγωγή
012307 C- -------- καὶ καὶ καί καί
012307 RA ----APM- τοὺς τοὺς τούς ὁ
012307 N- ----APM- ἀσπασμοὺς ἀσπασμοὺς ἀσπασμούς ἀσπασμός
012307 P- -------- ἐν ἐν ἐν ἐν
012307 RA ----DPF- ταῖς ταῖς ταῖς ὁ
012307 N- ----DPF- ἀγοραῖς ἀγοραῖς ἀγοραῖς ἀγορά
012307 C- -------- καὶ καὶ καί καί
012307 V- -PPN---- καλεῖσθαι καλεῖσθαι καλεῖσθαι καλέω
012307 P- -------- ὑπὸ ὑπὸ ὑπό ὑπό
012307 RA ----GPM- τῶν τῶν τῶν ὁ
012307 N- ----GPM- ἀνθρώπων· ἀνθρώπων ἀνθρώπων ἄνθρωπος
012307 N- ----NSM- Ῥαββί. Ῥαββί ῥαββί ῥαββί
012308 RP ----NP-- ὑμεῖς ὑμεῖς ὑμεῖς σύ
012308 C- -------- δὲ δὲ δέ δέ
012308 D- -------- μὴ μὴ μή μή
012308 V- 2APS-P-- κληθῆτε· κληθῆτε κληθῆτε καλέω
012308 N- ----NSM- Ῥαββί, Ῥαββί ῥαββί ῥαββί
012308 A- ----NSM- εἷς εἷς εἷς εἷς
012308 C- -------- γάρ γάρ γάρ γάρ
012308 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
012308 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
012308 RA ----NSM- ὁ ὁ ὁ ὁ
012308 N- ----NSM- διδάσκαλος, διδάσκαλος διδάσκαλος διδάσκαλος
012308 A- ----NPM- πάντες πάντες πάντες πᾶς
012308 C- -------- δὲ δὲ δέ δέ
012308 RP ----NP-- ὑμεῖς ὑμεῖς ὑμεῖς σύ
012308 N- ----NPM- ἀδελφοί ἀδελφοί ἀδελφοί ἀδελφός
012308 V- 2PAI-P-- ἐστε· ἐστε ἐστέ εἰμί
012309 C- -------- καὶ καὶ καί καί
012309 N- ----ASM- πατέρα πατέρα πατέρα πατήρ
012309 D- -------- μὴ μὴ μή μή
012309 V- 2AAS-P-- καλέσητε καλέσητε καλέσητε καλέω
