031306 V- 3IAI-S-- Ἔλεγεν Ἔλεγεν ἔλεγε(ν) λέγω
031306 C- -------- δὲ δὲ δέ δέ
031306 RD ----ASF- ταύτην ταύτην ταύτην οὗτος
031306 RA ----ASF- τὴν τὴν τήν ὁ
031306 N- ----ASF- παραβολήν. παραβολήν παραβολήν παραβολή
031306 N- ----ASF- Συκῆν Συκῆν συκῆν συκῆ
031306 V- 3IAI-S-- εἶχέν εἶχέν εἶχε(ν) ἔχω
031306 RI ----NSM- τις τις τις τις
031306 V- -XPPASF- ⸂πεφυτευμένην πεφυτευμένην πεφυτευμένην φυτεύω
031306 P- -------- ἐν ἐν ἐν ἐν
031306 RA ----DSM- τῷ τῷ τῷ ὁ
031306 N- ----DSM- ἀμπελῶνι ἀμπελῶνι ἀμπελῶνι ἀμπελών
031306 RP ----GSM- αὐτοῦ⸃, αὐτοῦ αὐτοῦ αὐτός
031306 C- -------- καὶ καὶ καί καί
031306 V- 3AAI-S-- ἦλθεν ἦλθεν ἦλθε(ν) ἔρχομαι
031306 V- -PAPNSM- ζητῶν ζητῶν ζητῶν ζητέω
031306 N- ----ASM- καρπὸν καρπὸν καρπόν καρπός
031306 P- -------- ἐν ἐν ἐν ἐν
031306 RP ----DSF- αὐτῇ αὐτῇ αὐτῇ αὐτός
031306 C- -------- καὶ καὶ καί καί
031306 D- -------- οὐχ οὐχ οὐ οὐ
031306 V- 3AAI-S-- εὗρεν. εὗρεν εὗρε(ν) εὑρίσκω
031307 V- 3AAI-S-- εἶπεν εἶπεν εἶπε(ν) λέγω
031307 C- -------- δὲ δὲ δέ δέ
031307 P- -------- πρὸς πρὸς πρός πρός
031307 RA ----ASM- τὸν τὸν τόν ὁ
031307 N- ----ASM- ἀμπελουργόν· ἀμπελουργόν ἀμπελουργόν ἀμπελουργός
031307 X- -------- Ἰδοὺ Ἰδοὺ ἰδού ἰδού
031307 A- ----APN- τρία τρία τρία τρεῖς
031307 N- ----APN- ἔτη ἔτη ἔτη ἔτος
031307 P- -------- ⸂ἀφ’ ἀφ’ ἀπό ἀπό
031307 RR ----GSM- οὗ⸃ οὗ οὗ ὅς
031307 V- 1PMI-S-- ἔρχομαι ἔρχομαι ἔρχομαι ἔρχομαι
031307 V- -PAPNSM- ζητῶν ζητῶν ζητῶν ζητέω
031307 N- ----ASM- καρπὸν καρπὸν καρπόν καρπός
031307 P- -------- ἐν ἐν ἐν ἐν
031307 RA ----DSF- τῇ τῇ τῇ ὁ
031307 N- ----DSF- συκῇ συκῇ συκῇ συκῆ
031307 RD ----DSF- ταύτῃ ταύτῃ ταύτῃ οὗτος
031307 C- -------- καὶ καὶ καί καί
031307 D- -------- οὐχ οὐχ οὐ οὐ
031307 V- 1PAI-S-- εὑρίσκω· εὑρίσκω εὑρίσκω εὑρίσκω
031307 V- 2AAD-S-- ⸀ἔκκοψον ἔκκοψον ἔκκοψον ἐκκόπτω
031307 RP ----ASF- αὐτήν· αὐτήν αὐτήν ἑαυτοῦ
031307 D- -------- ἱνατί ἱνατί ἱνατί ἱνατί
031307 D- -------- καὶ καὶ καί καί
031307 RA ----ASF- τὴν τὴν τήν ὁ
031307 N- ----ASF- γῆν γῆν γῆν γῆ
031307 V- 3PAI-S-- καταργεῖ; καταργεῖ καταργεῖ καταργέω
031308 RA ----NSM- ὁ ὁ ὁ ὁ
031308 C- -------- δὲ δὲ δέ δέ
031308 V- -APPNSM- ἀποκριθεὶς ἀποκριθεὶς ἀποκριθείς ἀποκρίνομαι
031308 V- 3PAI-S-- λέγει λέγει λέγει λέγω
031308 RP ----DSM- αὐτῷ· αὐτῷ αὐτῷ αὐτός
031308 N- ----VSM- Κύριε, Κύριε κύριε κύριος
031308 V- 2AAD-S-- ἄφες ἄφες ἄφες ἀφίημι
031308 RP ----ASF- αὐτὴν αὐτὴν αὐτήν ἑαυτοῦ
031308 D- -------- καὶ καὶ καί καί
031308 RD ----ASN- τοῦτο τοῦτο τοῦτο οὗτος
031308 RA ----ASN- τὸ τὸ τό ὁ
031308 N- ----ASN- ἔτος, ἔτος ἔτος ἔτος
031308 P- -------- ἕως ἕως ἕως ἕως
031308 RR ----GSM- ὅτου ὅτου ὅτου ὅστις
031308 V- 1AAS-S-- σκάψω σκάψω σκάψω σκάπτω
031308 P- -------- περὶ περὶ περί περί
031308 RP ----ASF- αὐτὴν αὐτὴν αὐτήν ἑαυτοῦ
031308 C- -------- καὶ καὶ καί καί
031308 V- 1AAS-S-- βάλω βάλω βάλω βάλλω
031308 N- ----APN- κόπρια· κόπρια κόπρια κόπριον
031309 C- -------- κἂν κἂν κἄν κἄν
031309 C- -------- μὲν μὲν μέν μέν
031309 V- 3AAS-S-- ποιήσῃ ποιήσῃ ποιήσῃ ποιέω
031309 N- ----ASM- καρπὸν καρπὸν καρπόν καρπός
031309 P- -------- ⸂εἰς εἰς εἰς εἰς
031309 RA ----ASN- τὸ τὸ τό ὁ
031309 V- -PAPASN- μέλλον— μέλλον μέλλον μέλλω
031309 C- -------- εἰ εἰ εἰ εἰ
031309 C- -------- δὲ δὲ δέ δέ
031309 D- -------- μήγε,⸃ μήγε μήγε μήγε
031309 V- 2FAI-S-- ἐκκόψεις ἐκκόψεις ἐκκόψεις ἐκκόπτω
031309 RP ----ASF- αὐτήν. αὐτήν αὐτήν ἑαυτοῦ
031310 V- 3IAI-S-- Ἦν Ἦν ἦν εἰμί
031310 C- -------- δὲ δὲ δέ δέ
